match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
e529ca05-4897-4244-89d5-5a26412615a6,Miyao,guard_puller,Haisam,leg_locker,Draw,Draw,30,0,0,0,0
6b9044cc-8b80-4d2f-9043-7dc65b6f1623,Iron Mike,wrestler,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
fbd87711-fef6-422d-9dfc-56679deb7182,Miyao,guard_puller,Iron Mike,wrestler,Miyao,Points - 2 to 0,30,2,0,5,-5
c89790fa-8838-4bd8-8534-18e3f5e18691,Rodolfo,pressure_passer,Iron Mike,wrestler,Iron Mike,Points - 2 to 0,30,0,2,-19,19
b1495d63-61c8-49fa-9d8a-7881f7f5331f,Marcelo,submission_hunter,Ruotolo,scrambler,Draw,Draw,30,0,0,0,0
f22dd1c6-3b51-43f7-80b2-2be326fd4c1e,Rodolfo,pressure_passer,Ruotolo,scrambler,Ruotolo,Points - 9 to 4,30,4,9,-15,15
2b814b80-137d-4d3d-ac03-3e3dd3cef3c4,Marcelo,submission_hunter,Rodolfo,pressure_passer,Marcelo,Submission - D'Arce Choke (from Front Headlock),5,0,0,5,-5
cb01c853-a195-4301-bdfd-d571c3a78664,Iron Mike,wrestler,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
7bbe18c1-c9e8-4265-9d28-02a7d43a55bf,Ruotolo,scrambler,Miyao,guard_puller,Miyao,Points - 2 to 0,30,0,2,-8,8
3914c018-fe64-4297-975b-e652094017cf,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - Standing Guillotine,2,0,0,6,-6
fac3a2f4-34f1-47ce-a143-1e00daabe56d,Miyao,guard_puller,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
9f491747-a931-4f91-badf-f6b1164cee05,Haisam,leg_locker,Ruotolo,scrambler,Ruotolo,Points - 12 to 0,30,0,12,-15,15
ab20a5c1-bde6-4222-8465-ba8a68a15c75,Ruotolo,scrambler,Rodolfo,pressure_passer,Ruotolo,Submission - Armbar (from Mount),28,11,4,13,-13
dd150a22-5010-41ab-8863-4bd922a77f33,Rodolfo,pressure_passer,Iron Mike,wrestler,Iron Mike,Points - 14 to 0,30,0,14,-16,16
fcba1378-68ec-484d-9f45-c3ab386f799d,Iron Mike,wrestler,Rodolfo,pressure_passer,Iron Mike,Points - 2 to 0,30,2,0,15,-15
