match_id,bot1,bot2,b1_name,b2_name,b1_pts,b2_pts,winner,method,turns
9f37b54a-30b8-4799-95c4-936e191ebe81,submission_hunter,scrambler,Marcelo,Ruotolo,0,0,submission_hunter,Submission - Standing Guillotine,4
3f9ce57a-b49f-4f03-b75a-f04b67b685ea,leg_locker,submission_hunter,Haisam,Marcelo,0,0,draw,Draw,25
3664296c-eb5e-4a78-8f06-1d508f0ec1d7,guard_puller,scrambler,Miyao,Ruotolo,0,8,scrambler,Submission - Rear Naked Choke,9
6454b147-3555-4ce7-ac9e-4ca5becd8b72,leg_locker,pressure_passer,Haisam,Rodolfo,0,0,draw,Draw,25
3c0918b0-8c6c-4d3b-9dc6-74f7e3cafd5b,wrestler,scrambler,Iron Mike,Ruotolo,4,4,scrambler,Submission - Kimura (from Side Control),5
6f951803-aa01-4ef5-b171-316e7bd9355d,pressure_passer,scrambler,Rodolfo,Ruotolo,0,4,scrambler,Submission - Rear Naked Choke,5
c5324f34-60c5-4d3f-9a5b-597b48cf6b8e,wrestler,leg_locker,Iron Mike,Haisam,0,0,draw,Draw,25
c55c09dd-a5bd-46cf-8098-35c53ab0515a,guard_puller,pressure_passer,Miyao,Rodolfo,0,4,pressure_passer,Points - 4 to 0,20
7e8bb0c0-dd6e-4a0f-be5f-1613bf2e5b88,guard_puller,submission_hunter,Miyao,Marcelo,0,0,submission_hunter,Submission - Standing Guillotine,3
924e6792-7211-4c71-86dd-e66c3c9716df,wrestler,pressure_passer,Iron Mike,Rodolfo,2,0,wrestler,Points - 2 to 0,20
896adb54-348f-4b27-96fb-d7f78151ad7e,wrestler,guard_puller,Iron Mike,Miyao,4,0,wrestler,Points - 4 to 0,20
945848b5-c2b5-4f8a-a979-b258751dbb56,leg_locker,scrambler,Haisam,Ruotolo,0,6,scrambler,Submission - Rear Naked Choke,9
