match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
8a91ca08-19b1-47cb-807d-d0e846c49db4,Haisam,leg_locker,Rodolfo,pressure_passer,Rodolfo,Points - 7 to 0,30,0,7,-18,18
1ae15801-a9a3-4287-8101-3666c082681b,Iron Mike,wrestler,Rodolfo,pressure_passer,Rodolfo,Submission - Kimura (from Half Guard Top),4,0,4,-13,13
f5fa14fc-3db7-400f-92e1-13da3f7dfcfa,Miyao,guard_puller,Rodolfo,pressure_passer,Rodolfo,Points - 4 to 0,30,0,4,-17,17
a4d8b16d-ad64-412e-ae41-fd9eedca9de0,Marcelo,submission_hunter,Miyao,guard_puller,Marcelo,Submission - Triangle Choke (from Closed Guard),3,0,0,15,-15
9279093d-4d5a-44bf-b01f-38ad18d0a252,Iron Mike,wrestler,Ruotolo,scrambler,Iron Mike,Points - 18 to 2,30,18,2,22,-22
64318145-1ecc-4729-839c-4559e9c0bab3,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Standing Guillotine,3,0,0,-14,14
9c415a2d-3bcb-4751-b44b-e751830a4a89,Haisam,leg_locker,Ruotolo,scrambler,Draw,Draw,30,0,0,0,0
7b755b49-e5af-4890-8350-df7afc4c07d8,Iron Mike,wrestler,Rodolfo,pressure_passer,Draw,Draw,30,2,2,0,0
f5706707-e952-485c-8f83-4d0bea062a74,Rodolfo,pressure_passer,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
acb90a8e-74fd-49ec-a540-3c06e7a026f4,Miyao,guard_puller,Ruotolo,scrambler,Ruotolo,Submission - Kimura (from Side Control),12,2,4,-14,14
c74901a3-d89c-45fa-8454-56361e385e7c,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission - Triangle Choke (from Closed Guard),14,0,6,15,-15
0bb8f82d-bcbe-49ac-a028-232180cc0fd2,Rodolfo,pressure_passer,Miyao,guard_puller,Miyao,Points - 4 to 0,30,0,4,-18,18
ff018e11-23c7-4997-8979-2a388c32bfcf,Ruotolo,scrambler,Haisam,leg_locker,Haisam,Submission - Kimura (from Side Control),3,0,0,-18,18
1c9f29d1-6b6f-4ff0-9708-af0d18837a56,Miyao,guard_puller,Iron Mike,wrestler,Miyao,Submission - Armbar (from Closed Guard),5,0,0,14,-14
