match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
a7e6747c-2a69-43b7-bd5f-556b27fcd75a,Miyao,guard_puller,Rodolfo,pressure_passer,Draw,Draw,30,0,0,0,0
7a7f2d1a-22b8-407d-82a2-ff4be513170e,Miyao,guard_puller,Ruotolo,scrambler,Draw,Draw,30,0,0,0,0
e6ce9554-0bc9-40f9-b2a3-308419990dab,Ruotolo,scrambler,Haisam,leg_locker,Haisam,Submission - Inside Heel Hook (from Saddle),28,6,0,-13,13
55f91f79-279f-4acd-b37f-7803c4e5ccc4,Rodolfo,pressure_passer,Iron Mike,wrestler,Iron Mike,Points - 10 to 0,30,0,10,-15,15
a2e707c0-bf16-47ea-a0ab-a3049908c73e,Haisam,leg_locker,Iron Mike,wrestler,Iron Mike,Points - 2 to 0,30,0,2,-20,20
f14f43bc-7ce0-4f02-95fb-a855913601f3,Marcelo,submission_hunter,Iron Mike,wrestler,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,3,-3
a1c6a256-e536-484e-bbd4-298badc6a8d9,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Straight Ankle Lock,7,0,2,14,-14
148db18e-5ab2-43b1-8bdb-bb0ecf636154,Iron Mike,wrestler,Ruotolo,scrambler,Ruotolo,Points - 6 to 0,30,0,6,-17,17
60e57596-caee-43af-8c74-58e87ffebbd2,Haisam,leg_locker,Rodolfo,pressure_passer,Draw,Draw,30,0,0,0,0
5660bc04-9747-4e96-9679-28cc005ff544,Ruotolo,scrambler,Iron Mike,wrestler,Draw,Draw,30,8,8,0,0
2994c585-91c9-4db1-86e3-32340a85949a,Miyao,guard_puller,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
b6abafba-52c4-4a35-815b-bbbd5b4a6512,Haisam,leg_locker,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
f34e25e1-8953-45a7-9fb0-893329c80eb7,Iron Mike,wrestler,Ruotolo,scrambler,Ruotolo,Points - 12 to 0,30,0,12,-15,15
109da693-cea3-4463-a5e8-3dbab051831f,Ruotolo,scrambler,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
38686058-6058-4d8c-8981-eabccbc3865b,Haisam,leg_locker,Rodolfo,pressure_passer,Haisam,Submission - Kneebar (from Saddle),6,0,2,11,-11
67f368a0-ba1f-4548-a1d7-09c605b258da,Haisam,leg_locker,Rodolfo,pressure_passer,Draw,Draw,30,0,0,0,0
dfe7c022-2d92-4aa9-8a52-a8b7a63b9485,Haisam,leg_locker,Rodolfo,pressure_passer,Draw,Draw,30,0,0,0,0
34899d31-905a-49b3-8010-fcc2730548f7,Iron Mike,wrestler,Haisam,leg_locker,Haisam,Submission - Inside Heel Hook (from Saddle),8,0,0,-11,11
ec1b9a7e-c5d6-42f7-a136-b4d08071f51c,Haisam,leg_locker,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
74892236-54be-43a0-b5ba-11d69beb2bc1,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - Anaconda Choke (from Front Headlock),2,0,0,5,-5
c4ef8c45-79b0-4cc1-9f0b-2922d077bb08,Rodolfo,pressure_passer,Iron Mike,wrestler,Draw,Draw,30,0,0,0,0
