match_id,bot1,bot2,b1_name,b2_name,b1_pts,b2_pts,winner,method,turns
dd426b3c-35bc-4f6f-90e7-7b8b2dce3068,wrestler,scrambler,Iron Mike,Ruotolo,6,4,wrestler,Points - 6 to 4,20
dd208a48-ba2b-4479-a9dc-318b473da204,leg_locker,pressure_passer,Haisam,Rodolfo,0,0,leg_locker,Submission - Triangle Choke (from Closed Guard),7
71c53241-6bfe-4d1b-93a5-079e14eaa083,guard_puller,leg_locker,Miyao,Haisam,0,0,leg_locker,Submission - Outside Heel Hook,4
8b00de98-c662-4367-bb2b-58fc290601e3,wrestler,submission_hunter,Iron Mike,Marcelo,0,2,submission_hunter,Submission - Americana (from Mount),6
1bee1f73-ced1-4764-80a8-116f2d585bc2,wrestler,leg_locker,Iron Mike,Haisam,2,0,leg_locker,Submission - Triangle Choke (from Closed Guard),15
f448c71d-0d61-4d80-8394-1ee4ae7d2d43,submission_hunter,scrambler,Marcelo,Ruotolo,6,4,scrambler,Submission - Rear Naked Choke,26
fd2fc175-2756-4d7d-a9f4-3357e9cb5c83,leg_locker,scrambler,Haisam,Ruotolo,2,4,scrambler,Points - 4 to 2,20
b820b668-3fd7-4907-9839-1ba9e654f153,guard_puller,scrambler,Miyao,Ruotolo,2,4,scrambler,Submission - Rear Naked Choke,16
a7f94b62-53d2-4a1f-b5de-2450216dc014,guard_puller,submission_hunter,Miyao,Marcelo,0,0,guard_puller,Submission - Omoplata (from Closed Guard),3
6cea47d0-08e9-4bd8-98b4-965c97101fb8,leg_locker,submission_hunter,Haisam,Marcelo,0,4,submission_hunter,Submission - Arm Triangle (from Side Control),5
bf999621-f1b9-441e-9628-a02428ae063f,wrestler,guard_puller,Iron Mike,Miyao,4,6,guard_puller,Points - 6 to 4,20
fd0736c7-2895-4bbc-b936-935aac1aaa27,guard_puller,pressure_passer,Miyao,Rodolfo,2,0,guard_puller,Points - 2 to 0,20
8780216a-c473-41c6-ac8a-8b1476e03bb0,pressure_passer,submission_hunter,Rodolfo,Marcelo,4,0,pressure_passer,Submission - Toe Hold,9
a8564e3e-bdc9-41a4-a71d-836791568fa9,wrestler,pressure_passer,Iron Mike,Rodolfo,4,0,wrestler,Submission - Kimura (from Side Control),3
9821832b-01f8-4153-9455-971f6495911b,pressure_passer,scrambler,Rodolfo,Ruotolo,2,4,scrambler,Submission - Rear Naked Choke,17
