match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
cc423122-f111-4414-8c01-069bdf8326d3,Marcelo,submission_hunter,Rodolfo,pressure_passer,Marcelo,Submission - Anaconda Choke (from Front Headlock),2,0,0,16,-16
531156ef-94f5-4ae3-b871-2c842b76ff6d,Iron Mike,wrestler,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
796b1bee-6ec6-44b1-a69b-bd0336520cdc,Haisam,leg_locker,Rodolfo,pressure_passer,Draw,Draw,30,0,0,0,0
29b64f0e-7146-416d-b54a-cf7d9178986b,Miyao,guard_puller,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
6b4105ec-03fc-451b-a20b-37fb2195b8e1,Miyao,guard_puller,Iron Mike,wrestler,Miyao,Submission - Standing Guillotine,2,0,0,16,-16
7a8d1e91-e6cd-4342-977d-44623a0b6bf5,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Anaconda Choke (from Front Headlock),2,0,0,-15,15
0d1d7ccd-affd-4932-b6fa-5534d2590677,Rodolfo,pressure_passer,Iron Mike,wrestler,Draw,Draw,30,0,0,0,0
ea051de5-be21-4978-959d-03f9af64708d,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission - Standing Guillotine,2,0,0,15,-15
528089c1-7b34-44c8-a6ae-73279a46cb05,Iron Mike,wrestler,Rodolfo,pressure_passer,Rodolfo,Submission - Kimura (from Half Guard Top),20,2,4,-16,16
e936358f-91fd-48cf-a592-865db16a4723,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,13,-13
2f794cb6-a3a3-4de9-9a36-1894e6620b07,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,13,-13
1140f5a0-2173-4681-af29-381aa4f7bdcb,Rodolfo,pressure_passer,Iron Mike,wrestler,Rodolfo,Points - 6 to 0,30,6,0,15,-15
dd8c56ff-c7cd-427f-8af5-5e86c83c2203,Haisam,leg_locker,Rodolfo,pressure_passer,Draw,Draw,30,0,0,0,0
06da3d71-90fd-4905-a5a7-b58457664388,Miyao,guard_puller,Ruotolo,scrambler,Draw,Draw,30,0,0,0,0
e7fc817a-0df5-41ce-acae-4ab9a77f225f,Haisam,leg_locker,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
225fc1a3-7ddc-4141-8f81-c51c30750a81,Ruotolo,scrambler,Haisam,leg_locker,Ruotolo,Submission - Rear Naked Choke,15,4,0,16,-16
ab4142fc-bcf4-4a71-920f-3c6b0d1244ff,Marcelo,submission_hunter,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
40824317-6f67-4fcb-96c4-bc76b49f9929,Miyao,guard_puller,Haisam,leg_locker,Miyao,Submission - Standing Guillotine,2,0,0,13,-13
