match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
e91e7909-6923-421d-9568-368deca96b4d,Iron Mike,wrestler,Rodolfo,pressure_passer,Iron Mike,Points - 11 to 2,30,11,2,18,-18
dc3ec182-d52d-429c-acf0-8cb062946007,Ruotolo,scrambler,Iron Mike,wrestler,Draw,Draw,30,0,0,0,0
70507c4d-7556-4176-8dd7-93024ed4cb17,Ruotolo,scrambler,Haisam,leg_locker,Ruotolo,Submission - Rear Naked Choke,29,10,0,22,-22
975e345f-e7d0-47ce-9e71-497ced8bb37a,Iron Mike,wrestler,Marcelo,submission_hunter,Marcelo,Submission - Kimura (from Closed Guard),13,4,0,-7,7
59ec2105-51f7-4af6-b313-8b3ca5b269f8,Miyao,guard_puller,Haisam,leg_locker,Haisam,Points - 4 to 0,30,0,4,-17,17
20f3c9f4-9069-4a2a-97fa-00dcd70f50a8,Iron Mike,wrestler,Miyao,guard_puller,Iron Mike,Submission - Americana (from Side Control),7,3,0,22,-22
9779b741-c4a2-44a3-9dac-e4967ad6a126,Miyao,guard_puller,Rodolfo,pressure_passer,Rodolfo,Points - 11 to 2,30,2,11,-20,20
17d5e6c4-e2fd-4445-bd6a-212c1aa23960,Haisam,leg_locker,Iron Mike,wrestler,Iron Mike,Points - 6 to 0,30,0,6,-21,21
f9a050b1-dbe4-490c-a238-93960f915a9e,Haisam,leg_locker,Rodolfo,pressure_passer,Haisam,Submission - Straight Ankle Lock,8,0,0,12,-12
01d1f564-94ee-4f23-9fd3-0c55544f3ad7,Rodolfo,pressure_passer,Miyao,guard_puller,Rodolfo,Submission - Americana (from Side Control),4,3,0,18,-18
dd5e3ce3-4e56-4263-bf0b-0683407143da,Ruotolo,scrambler,Marcelo,submission_hunter,Marcelo,Submission - Standing Guillotine,17,2,2,-8,8
d5eb8d4e-82d0-46b1-81c5-c362ec5914d5,Ruotolo,scrambler,Rodolfo,pressure_passer,Draw,Draw,30,4,4,0,0
dbb5c261-c2f8-4bf3-aabe-ea6678556dca,Ruotolo,scrambler,Haisam,leg_locker,Haisam,Submission - Kneebar (from Deep Half),14,5,4,-11,11
c43fbb31-ecec-4fc5-b7ca-805c9e83b99e,Marcelo,submission_hunter,Iron Mike,wrestler,Marcelo,Submission - Anaconda Choke (from Front Headlock),2,0,0,8,-8
a541f7da-364e-4da2-9a01-a2d6317d4db4,Rodolfo,pressure_passer,Ruotolo,scrambler,Rodolfo,Points - 9 to 2,30,9,2,15,-15
3c08e316-9943-40f2-b68b-a61cbb1eed78,Marcelo,submission_hunter,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
d4ab32d9-b804-4817-8428-d34c57aac7a5,Iron Mike,wrestler,Marcelo,submission_hunter,Marcelo,Submission - D'Arce Choke (from Front Headlock),5,0,0,-8,8
bdd20784-d135-4bac-bb61-a355c174dd3e,Iron Mike,wrestler,Miyao,guard_puller,Iron Mike,Points - 9 to 4,30,9,4,18,-18
275a3910-00e6-4a33-8aee-d3cece03c2a1,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Submission - Americana (from Side Control),29,0,12,-13,13
c3ea6c4d-db94-47ef-827e-2c7cef20bcc6,Iron Mike,wrestler,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,2,0,0,-16,16
9808a27e-7f04-4140-839e-787b601e3723,Miyao,guard_puller,Rodolfo,pressure_passer,Miyao,Submission - Armbar (from Mount),6,0,3,17,-17
569d545e-1238-4576-a9c2-21a6117155a8,Marcelo,submission_hunter,Iron Mike,wrestler,Marcelo,Submission - Armbar (from Closed Guard),8,0,0,7,-7
e4fcbfa5-ab32-483c-959f-040b905a66eb,Ruotolo,scrambler,Haisam,leg_locker,Draw,Draw,30,0,0,0,0
c4b44f6e-62ae-4702-87a7-f87b5439c2d4,Ruotolo,scrambler,Iron Mike,wrestler,Iron Mike,Points - 4 to 2,30,2,4,-15,15
fc3fef5a-0f5e-4e1a-a7e0-6d3d13ded2b0,Miyao,guard_puller,Rodolfo,pressure_passer,Miyao,Submission - Standing Guillotine,2,0,0,15,-15
68105e03-114c-4b71-a5f1-ba74fc31ae41,Marcelo,submission_hunter,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
0451e8b8-ab8f-45fb-8151-84d35348d128,Ruotolo,scrambler,Marcelo,submission_hunter,Marcelo,Submission - Anaconda Choke (from Front Headlock),3,0,0,-5,5
b5a61191-0dcd-4bc9-83b1-e1bdfc2675bd,Ruotolo,scrambler,Miyao,guard_puller,Miyao,Points - 4 to 0,30,0,4,-11,11
f65510ea-1bab-4c48-b0f9-2e0f65c65e8c,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Submission - Arm Triangle (from Side Control),2,0,4,-12,12
77dcd66e-3936-48a5-9459-59fc5030405a,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission - Kimura (from Closed Guard),20,0,0,5,-5
c94e727c-8bfe-4a2d-aca2-9ed75cbfd206,Iron Mike,wrestler,Marcelo,submission_hunter,Marcelo,Submission - Standing Guillotine,2,0,0,-7,7
e4349d9b-85fb-4c8c-b695-cfbcf708b19d,Rodolfo,pressure_passer,Iron Mike,wrestler,Rodolfo,Submission - Kimura (from Half Guard Top),16,8,0,15,-15
f8c8e8cf-6dcf-4b9e-8ace-aa872d533a79,Miyao,guard_puller,Rodolfo,pressure_passer,Miyao,Submission - Standing Guillotine,7,0,0,14,-14
4e7b138e-8f76-4bd7-b74d-b052ca5239ee,Marcelo,submission_hunter,Iron Mike,wrestler,Marcelo,Submission - Kimura (from Closed Guard),2,0,0,6,-6
462bf881-7a96-41e7-a416-a16d3ff7e003,Rodolfo,pressure_passer,Miyao,guard_puller,Rodolfo,Submission - Kimura (from Side Control),19,4,2,19,-19
7bc777d0-d072-4a47-ad00-8727753087dd,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission - D'Arce Choke (from Front Headlock),9,0,0,4,-4
8cfdd87a-6396-4c2d-a250-5c7d828443e2,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - D'Arce Choke (from Front Headlock),3,0,0,10,-10
