match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
f0954c1d-ee86-4605-946f-4df889c1f6af,Rodolfo,pressure_passer,Haisam,leg_locker,Haisam,Submission - Kneebar (from Saddle),25,0,0,-15,15
31aac802-0b36-4853-bce2-5b2da53c4ee3,Rodolfo,pressure_passer,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,25,0,0,-15,15
30bc87aa-974b-4ec1-811b-6f9d0824147c,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Toe Hold,17,0,4,14,-14
1be622f7-d02f-4477-92eb-0a0a074fa499,Miyao,guard_puller,Rodolfo,pressure_passer,Rodolfo,Submission - Kimura (from Side Control),12,0,0,-18,18
7d0f0704-2baa-4c16-80d1-2a79f6bc6f23,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission chain - Kimura (from Deep Half Top),7,0,0,15,-15
8eb11ce4-4c72-4c94-9d80-e1e2053e1916,Haisam,leg_locker,Ruotolo,scrambler,Haisam,Submission - Toe Hold,30,0,2,15,-15
520817b8-2f74-413e-9519-f21d2ddbecd3,Haisam,leg_locker,Ruotolo,scrambler,Haisam,Points - 2 to 0,30,2,0,13,-13
74ea0855-3781-4b12-91c9-c987be5a97e3,Haisam,leg_locker,Ruotolo,scrambler,Ruotolo,Submission - Kimura (from Side Control),3,0,0,-20,20
ba7de12f-edf6-42c8-8d5e-596c19459944,Ruotolo,scrambler,Marcelo,submission_hunter,Marcelo,Submission chain - Armbar (from High Mount),4,0,0,-14,14
3ee10f43-e46e-4193-9514-9c202157c9e1,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Toe Hold,10,0,0,13,-13
6cfc77cc-0c11-4153-afad-9ca141926a79,Miyao,guard_puller,Haisam,leg_locker,Miyao,Points - 2 to 0,30,2,0,19,-19
c9038045-510b-450f-adf5-f2298fe0a6e9,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Straight Ankle Lock,10,0,0,12,-12
f7fc0f9f-04bb-4489-8a2a-4140ceb1879a,Iron Mike,wrestler,Rodolfo,pressure_passer,Iron Mike,Points - 4 to 2,30,4,2,17,-17
