match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
54a19709-3ead-4479-a254-4855c66b0069,Miyao,guard_puller,Ruotolo,scrambler,Miyao,Submission - Standing Guillotine,4,0,0,16,-16
4f95921e-3db2-4922-96cc-3b571f1b0c8a,Miyao,guard_puller,Ruotolo,scrambler,Miyao,Submission - Cross Collar Choke (from Closed Guard),15,4,0,15,-15
1fff05d5-fb37-4fe8-a7c6-dac59e9a845e,Haisam,leg_locker,Rodolfo,pressure_passer,Rodolfo,Submission - Americana (from Side Control),4,0,0,-16,16
0ef393ae-66c0-45e8-a16a-c52e58e7f579,Iron Mike,wrestler,Rodolfo,pressure_passer,Draw,Draw,30,4,4,0,0
e09217d6-9a49-4b3d-8477-25c580a32dd4,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - D'Arce Choke (from Front Headlock),7,0,0,-15,15
f22d2b6e-7339-4c6e-b1bf-70eac5a6b68b,Ruotolo,scrambler,Iron Mike,wrestler,Ruotolo,Submission - Kimura (from Side Control),26,2,0,17,-17
2a06340b-5edc-4045-af97-7faff4cc6b8b,Ruotolo,scrambler,Iron Mike,wrestler,Ruotolo,Submission - Rear Naked Choke,5,4,0,16,-16
58b43c4c-1b5a-40f6-8152-d972053af741,Rodolfo,pressure_passer,Iron Mike,wrestler,Rodolfo,Submission - Arm Triangle (from Side Control),9,4,0,14,-14
2d5c6bf5-4586-4728-b141-6c6861ffaee7,Ruotolo,scrambler,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,2,0,0,-15,15
4502e597-df01-410f-aa26-5224bdb8100c,Ruotolo,scrambler,Marcelo,submission_hunter,Marcelo,Submission - Triangle Choke (from Closed Guard),4,0,0,-15,15
247a3083-36f4-42e8-8cb6-9cafef291852,Rodolfo,pressure_passer,Ruotolo,scrambler,Ruotolo,Points - 4 to 0,30,0,4,-19,19
9c9ad4f6-4ab3-43b3-b79d-045dfe3db379,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Standing Guillotine,5,0,0,-13,13
4abec67a-7d2e-48fa-abcc-56359cf4f57a,Marcelo,submission_hunter,Iron Mike,wrestler,Marcelo,Submission - Standing Guillotine,2,0,0,12,-12
2bc1db5f-81c8-4fcf-bed9-86a8d5afda91,Marcelo,submission_hunter,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
e7744943-b6e1-42c2-b853-4dcd0817400c,Miyao,guard_puller,Haisam,leg_locker,Miyao,Submission - Standing Guillotine,10,0,0,12,-12
0118fb97-d1fd-410d-9785-f7d22ec2df9d,Miyao,guard_puller,Iron Mike,wrestler,Miyao,Submission - Standing Guillotine,21,0,0,11,-11
52b6b1d9-6825-4518-a617-a3664ee753cb,Haisam,leg_locker,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,24,0,4,-10,10
c6363f3b-3290-4240-a7e6-2dafe16e66bc,Miyao,guard_puller,Iron Mike,wrestler,Iron Mike,Points - 3 to 0,30,0,3,-22,22
602d62d5-4237-40d4-85d4-a1ceb65a81b3,Marcelo,submission_hunter,Rodolfo,pressure_passer,Rodolfo,Submission - Arm Triangle (from Side Control),7,0,0,-18,18
df8947dd-d08e-4f1a-b0f2-7a58cd505ec1,Haisam,leg_locker,Rodolfo,pressure_passer,Haisam,Submission - Kneebar (from Saddle),10,0,0,20,-20
c9a7c1e8-d294-4b5e-8cf4-d7d6f4ad891b,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Anaconda Choke (from Front Headlock),2,0,0,-12,12
44360d2b-80c9-4f51-b4cd-def43dff009c,Iron Mike,wrestler,Ruotolo,scrambler,Ruotolo,Submission - Kimura (from Side Control),24,11,4,-14,14
f048356f-cd0f-437c-96b6-c60c49515167,Rodolfo,pressure_passer,Marcelo,submission_hunter,Rodolfo,Submission - Americana (from Side Control),6,0,0,18,-18
be325132-f8b7-4765-91d3-4f2ca7b520c0,Miyao,guard_puller,Haisam,leg_locker,Miyao,Points - 2 to 0,30,2,0,11,-11
be09dc49-b317-48a3-b174-dbedcf011c24,Ruotolo,scrambler,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,2,0,0,-13,13
66dcdc2f-0a70-459f-a1c6-416f7ac354f2,Miyao,guard_puller,Haisam,leg_locker,Haisam,Submission - Straight Ankle Lock,8,0,0,-23,23
1a93a7d5-847a-4f1b-a4ce-601efbb91a92,Miyao,guard_puller,Rodolfo,pressure_passer,Miyao,Submission - Standing Guillotine,2,0,0,15,-15
1dd61d56-0cb6-4b56-8748-d1316eb0f0e9,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Submission - Kimura (from Side Control),2,0,4,-15,15
921bdb4d-ea0e-4f2f-9318-2f504680609c,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,14,-14
0bbfbfaa-3403-450d-a692-11c2ef6531e3,Miyao,guard_puller,Haisam,leg_locker,Miyao,Submission - Standing Guillotine,6,0,0,11,-11
