match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
aeef47b8-cfe7-4a1c-8e9f-e5664fcac08b,Haisam,leg_locker,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,15,0,0,-16,16
ec42db74-749c-471d-9c46-1c085888ba70,Miyao,guard_puller,Ruotolo,scrambler,Miyao,Submission - Standing Guillotine,2,0,0,15,-15
3b2f5868-89b7-48c0-ad06-3cf589220fee,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Anaconda Choke (from Front Headlock),28,0,2,-15,15
c74199e5-bca4-4319-8481-82e776e17827,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Points - 10 to 8,30,8,10,-15,15
309930d4-72d5-4f34-968c-28e55cb1bce2,Ruotolo,scrambler,Rodolfo,pressure_passer,Ruotolo,Submission - Kimura (from Side Control),15,8,2,18,-18
aa8711b3-bf7c-486e-9510-3f4a6fc75935,Miyao,guard_puller,Haisam,leg_locker,Haisam,Points - 4 to 0,30,0,4,-19,19
d9f7423b-be02-4344-b6c2-979987f892cc,Ruotolo,scrambler,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,4,0,0,-15,15
11a86067-a275-483d-814a-9c4db32258ba,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Straight Ankle Lock,15,0,0,17,-17
3b71cdf6-866e-4519-b6c4-6e520ab336de,Miyao,guard_puller,Haisam,leg_locker,Haisam,Submission - Toe Hold,23,2,4,-17,17
8a88328e-2faa-495c-a6b6-e1df55f61ad8,Miyao,guard_puller,Ruotolo,scrambler,Miyao,Submission - Standing Guillotine,24,0,0,14,-14
f255f9a2-aff2-44de-9171-520865c6c401,Haisam,leg_locker,Miyao,guard_puller,Haisam,Submission - Rear Naked Choke,7,4,0,16,-16
0821a0eb-fb2c-4535-89e4-8ddd574074c8,Ruotolo,scrambler,Haisam,leg_locker,Ruotolo,Submission - Rear Naked Choke,30,10,0,20,-20
887a3719-0a2b-4b25-8f35-70d964fad693,Marcelo,submission_hunter,Rodolfo,pressure_passer,Marcelo,Submission - Standing Guillotine,3,0,0,15,-15
05e5d000-7ebd-4276-a329-4e50f3675532,Marcelo,submission_hunter,Rodolfo,pressure_passer,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,14,-14
e96f1397-c098-4d69-b3de-00524c12d399,Miyao,guard_puller,Haisam,leg_locker,Haisam,Submission - Straight Ankle Lock,11,0,4,-16,16
e1bfa5db-da89-410d-b7d4-abb466477dbe,Iron Mike,wrestler,Haisam,leg_locker,Haisam,Submission - Inside Heel Hook (from Saddle),26,2,4,-14,14
42159202-362f-468e-90ad-a3b21c7a9cfb,Rodolfo,pressure_passer,Ruotolo,scrambler,Rodolfo,Submission - Americana (from Side Control),4,2,0,17,-17
4fc2734a-06ac-4d54-a7c7-b1578bd44c89,Miyao,guard_puller,Ruotolo,scrambler,Miyao,Submission - Standing Guillotine,2,0,0,15,-15
5774a1bf-9de7-4096-a28d-16cf6e1a7b38,Haisam,leg_locker,Ruotolo,scrambler,Ruotolo,Submission - Rear Naked Choke,8,0,0,-21,21
b8be5316-a11b-42f2-a7a5-32fd6f9558c6,Marcelo,submission_hunter,Ruotolo,scrambler,Marcelo,Submission chain - Arm Triangle (from Side Control),6,0,0,13,-13
9a91d200-d9e6-481f-bc89-113d2021ef18,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Submission - Ezekiel Choke (from Mount),6,0,7,-15,15
8d6607e7-3fc6-46ae-a343-328aeda46d3c,Rodolfo,pressure_passer,Marcelo,submission_hunter,Marcelo,Submission - D'Arce Choke (from Front Headlock),3,0,0,-13,13
255650df-3f0f-4129-8232-eae4eab2f789,Haisam,leg_locker,Rodolfo,pressure_passer,Rodolfo,Points - 17 to 4,30,4,17,-18,18
0b344481-67ae-4fee-b201-ab38904d5c63,Iron Mike,wrestler,Rodolfo,pressure_passer,Rodolfo,Submission - Americana (from Side Control),5,2,3,-14,14
9893fcda-8ac4-4d2b-a589-915692211fed,Miyao,guard_puller,Rodolfo,pressure_passer,Miyao,Submission - Standing Guillotine,24,0,4,17,-17
0e4d31e5-0fad-4407-b2f8-23d54e88664a,Rodolfo,pressure_passer,Miyao,guard_puller,Rodolfo,Submission - Americana (from Side Control),18,3,0,17,-17
fe35fe3c-0f15-4613-8eb1-7fffe39a6772,Miyao,guard_puller,Rodolfo,pressure_passer,Rodolfo,Points - 12 to 2,30,2,12,-15,15
ff663f50-ce62-4dec-b1c0-daedbc7c194d,Rodolfo,pressure_passer,Miyao,guard_puller,Rodolfo,Submission - Kimura (from Side Control),16,7,0,14,-14
2616c613-90b4-48aa-865f-99d7c342096a,Iron Mike,wrestler,Marcelo,submission_hunter,Marcelo,Submission chain - North-South Choke,3,0,0,-11,11
a167023d-97cb-4fc1-9d2c-2a86d6d59441,Haisam,leg_locker,Ruotolo,scrambler,Ruotolo,Points - 2 to 0,30,0,2,-19,19
f9b1cdf9-eaed-4d1c-9fea-9808ac34a8ef,Rodolfo,pressure_passer,Iron Mike,wrestler,Rodolfo,Submission - Kimura (from Half Guard Top),11,6,4,11,-11
600486c4-7803-4fcd-b15f-9334bd6a85f9,Marcelo,submission_hunter,Rodolfo,pressure_passer,Rodolfo,Submission - Americana (from Side Control),4,0,0,-17,17
2f75f973-aa51-41d2-bff8-d83d87aef43b,Haisam,leg_locker,Miyao,guard_puller,Haisam,Points - 8 to 2,30,8,2,15,-15
1308fd8f-ff5c-4ce9-9ad0-4b143106d066,Rodolfo,pressure_passer,Marcelo,submission_hunter,Marcelo,Submission - Armbar (from Back Control),15,0,0,-17,17
1a57b359-8e59-4e78-9807-7b3ed9a5495e,Ruotolo,scrambler,Haisam,leg_locker,Ruotolo,Points - 2 to 0,30,2,0,18,-18
ac981b28-28ba-4522-89e4-7f3282752547,Haisam,leg_locker,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,2,0,0,-17,17
f2880f00-b118-4cc4-869b-78fae48699ac,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,11,-11
