match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
60d4de55-317a-423b-a7f0-1e9d72eb4ab4,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Standing Guillotine,2,0,0,-16,16
e2e088ff-7051-45d0-b14c-97ea4b795dde,Miyao,guard_puller,Haisam,leg_locker,Haisam,Points - 5 to 0,30,0,5,-17,17
72566554-d0c8-4382-9617-489528aeab3e,Rodolfo,pressure_passer,Iron Mike,wrestler,Draw,Draw,30,6,6,0,0
36d237d1-c864-44f6-9ae2-06f67b8ea953,Rodolfo,pressure_passer,Ruotolo,scrambler,Rodolfo,Submission - Americana (from Side Control),2,2,0,16,-16
15961d33-ef25-4b0b-b531-281eb44b5178,Marcelo,submission_hunter,Miyao,guard_puller,Draw,Draw,30,0,0,0,0
9541b542-6945-46da-bb22-623827c20e8a,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - D'Arce Choke (from Front Headlock),2,0,0,15,-15
9228aa5f-a21e-4ffd-97b8-6635c215d232,Marcelo,submission_hunter,Iron Mike,wrestler,Marcelo,Submission - Standing Guillotine,13,0,6,15,-15
dd71dffb-7ec1-4909-ae3c-4e6eba767ac9,Ruotolo,scrambler,Haisam,leg_locker,Ruotolo,Points - 4 to 0,30,4,0,16,-16
30f95c66-b5a3-49ad-b6bc-05d3c0d0b8d9,Ruotolo,scrambler,Haisam,leg_locker,Ruotolo,Points - 2 to 0,30,2,0,15,-15
3b6447ba-97ff-4a43-991b-5037e345a324,Marcelo,submission_hunter,Haisam,leg_locker,Marcelo,Submission - Anaconda Choke (from Front Headlock),28,0,0,12,-12
fe4ea355-2390-45c9-a915-9c9dbbca91d3,Iron Mike,wrestler,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,4,0,0,-16,16
4ddc501a-28b1-44a2-862a-1af6dcbb9877,Haisam,leg_locker,Ruotolo,scrambler,Haisam,Submission - Rear Naked Choke,13,4,0,19,-19
7b490bd8-8d55-4e50-b142-595da731f6ba,Marcelo,submission_hunter,Iron Mike,wrestler,Iron Mike,Points - 3 to 2,30,2,3,-20,20
67f0513e-fcff-48be-be92-0c314e204430,Ruotolo,scrambler,Iron Mike,wrestler,Ruotolo,Submission - Rear Naked Choke,29,4,7,16,-16
707cc370-46f7-4ea8-833d-44067283ea74,Marcelo,submission_hunter,Haisam,leg_locker,Haisam,Submission - Rear Naked Choke,5,0,4,-19,19
ca738ae4-e11d-4869-a6b2-3c43e3f0ab4e,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Submission - Arm Triangle (from Side Control),18,2,10,-16,16
3db9197e-fa6a-4e0f-a153-0bcaea5117f0,Ruotolo,scrambler,Iron Mike,wrestler,Iron Mike,Submission - Americana (from Side Control),21,0,4,-17,17
baa4e70b-6d7c-4ff1-bf5c-f215181f937a,Iron Mike,wrestler,Rodolfo,pressure_passer,Iron Mike,Submission - Americana (from Side Control),10,2,3,18,-18
e7a885db-176a-454e-ae06-35f882698962,Haisam,leg_locker,Miyao,guard_puller,Miyao,Submission - Kimura (from Side Control),26,4,2,-15,15
22ef3470-cd58-4082-8604-fd6ab06e063e,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Toe Hold,18,0,0,18,-18
323d1ded-7d35-45fc-905f-2664a045eefe,Iron Mike,wrestler,Haisam,leg_locker,Iron Mike,Points - 11 to 0,30,11,0,16,-16
